pair_id,variant,plain_size,transformed_size,recv_ts_us,payload_bytes
29225,1,128,256,1763725865101267,256
29226,0,128,0,1763725865101292,128
29226,1,128,256,1763725865101297,256
29227,0,128,0,1763725865101300,128
29227,1,128,256,1763725865101304,256
29228,0,128,0,1763725865101307,128
29228,1,128,256,1763725865101311,256
29229,0,128,0,1763725865101314,128
29229,1,128,256,1763725865101317,256
29230,0,128,0,1763725865101321,128
29230,1,128,256,1763725865101324,256
29231,0,128,0,1763725865101328,128
29231,1,128,256,1763725865101331,256
29232,0,128,0,1763725865101335,128
29232,1,128,256,1763725865101338,256
29233,0,128,0,1763725865101342,128
29233,1,128,256,1763725865101345,256
29234,0,128,0,1763725865101348,128
29234,1,128,256,1763725865101352,256
29235,0,128,0,1763725865101355,128
29235,1,128,256,1763725865101359,256
29236,0,128,0,1763725865101369,128
29236,1,128,256,1763725865101372,256
29237,0,128,0,1763725865101375,128
29237,1,128,256,1763725865101380,256
29238,0,128,0,1763725865101383,128
29238,1,128,256,1763725865101387,256
29239,0,128,0,1763725865101391,128
29239,1,128,256,1763725865101394,256
29240,0,128,0,1763725865101398,128
29240,1,128,256,1763725865101401,256
29241,0,128,0,1763725865101404,128
29241,1,128,256,1763725865101408,256
29242,0,128,0,1763725865101411,128
29242,1,128,256,1763725865101415,256
29243,0,128,0,1763725865101418,128
29243,1,128,256,1763725865101421,256
29244,0,128,0,1763725865101424,128
29244,1,128,256,1763725865101428,256
29245,0,128,0,1763725865101433,128
29245,1,128,256,1763725865101436,256
29246,0,128,0,1763725865101440,128
29246,1,128,256,1763725865101450,256
29247,0,128,0,1763725865101455,128
29247,1,128,256,1763725865101460,256
29248,0,128,0,1763725865101464,128
29248,1,128,256,1763725865101469,256
29249,0,128,0,1763725865101472,128
29249,1,128,256,1763725865101477,256
29250,0,128,0,1763725865101485,128
29250,1,128,256,1763725865101489,256
29251,0,128,0,1763725865101494,128
29251,1,128,256,1763725865101497,256
29252,0,128,0,1763725865101502,128
29252,1,128,256,1763725865101506,256
29253,0,128,0,1763725865101512,128
29253,1,128,256,1763725865101517,256
29254,0,128,0,1763725865101521,128
29254,1,128,256,1763725865101525,256
29255,0,128,0,1763725865101529,128
29255,1,128,256,1763725865101534,256
29256,0,128,0,1763725865101539,128
29256,1,128,256,1763725865101543,256
29257,0,128,0,1763725865101547,128
29257,1,128,256,1763725865101550,256
29258,0,128,0,1763725865101556,128
29258,1,128,256,1763725865101564,256
29259,0,128,0,1763725865101569,128
29259,1,128,256,1763725865101575,256
29260,0,128,0,1763725865101579,128
29260,1,128,256,1763725865101583,256
29261,0,128,0,1763725865101588,128
29261,1,128,256,1763725865101592,256
29262,0,128,0,1763725865101595,128
29262,1,128,256,1763725865101599,256
29263,0,128,0,1763725865101602,128
29263,1,128,256,1763725865101606,256
