pair_id,variant,plain_size,transformed_size,recv_ts_us,payload_bytes
30181,0,128,0,1763725937800254,128
30181,5,128,288,1763725937800279,288
30182,0,128,0,1763725937800283,128
30182,5,128,288,1763725937800287,288
30183,0,128,0,1763725937800292,128
30183,5,128,288,1763725937800296,288
30184,0,128,0,1763725937800300,128
30184,5,128,288,1763725937800304,288
30185,0,128,0,1763725937800308,128
30185,5,128,288,1763725937800312,288
30186,0,128,0,1763725937800316,128
30186,5,128,288,1763725937800320,288
30187,0,128,0,1763725937800324,128
30187,5,128,288,1763725937800328,288
30188,0,128,0,1763725937800332,128
30188,5,128,288,1763725937800336,288
30189,0,128,0,1763725937800340,128
30189,5,128,288,1763725937800344,288
30190,0,128,0,1763725937800348,128
30190,5,128,288,1763725937800352,288
30191,0,128,0,1763725937800356,128
30191,5,128,288,1763725937800360,288
30192,0,128,0,1763725937800370,128
30192,5,128,288,1763725937800375,288
30193,0,128,0,1763725937800379,128
30193,5,128,288,1763725937800383,288
30194,0,128,0,1763725937800387,128
30194,5,128,288,1763725937800391,288
30195,0,128,0,1763725937800395,128
30195,5,128,288,1763725937800399,288
30196,0,128,0,1763725937800402,128
30196,5,128,288,1763725937800406,288
30197,0,128,0,1763725937800410,128
30197,5,128,288,1763725937800414,288
30198,0,128,0,1763725937800418,128
30198,5,128,288,1763725937800424,288
30199,0,128,0,1763725937800428,128
30199,5,128,288,1763725937800432,288
30200,0,128,0,1763725937800438,128
30200,5,128,288,1763725937800445,288
30201,0,128,0,1763725937800449,128
30201,5,128,288,1763725937800455,288
30202,0,128,0,1763725937800461,128
30202,5,128,288,1763725937800466,288
30203,0,128,0,1763725937800470,128
30203,5,128,288,1763725937800478,288
30204,0,128,0,1763725937800484,128
30204,5,128,288,1763725937800488,288
30205,0,128,0,1763725937800492,128
30205,5,128,288,1763725937800499,288
30206,0,128,0,1763725937800503,128
30206,5,128,288,1763725937800507,288
30207,0,128,0,1763725937800513,128
30207,5,128,288,1763725937800517,288
30208,0,128,0,1763725937800523,128
30208,5,128,288,1763725937800528,288
30209,0,128,0,1763725937800533,128
30209,5,128,288,1763725937800539,288
30210,0,128,0,1763725937800545,128
30210,5,128,288,1763725937800550,288
30211,0,128,0,1763725937800556,128
30211,5,128,288,1763725937800562,288
30212,0,128,0,1763725937800573,128
30212,5,128,288,1763725937800579,288
30213,0,128,0,1763725937800586,128
30213,5,128,288,1763725937800590,288
30214,0,128,0,1763725937800597,128
30214,5,128,288,1763725937800602,288
30215,0,128,0,1763725937800608,128
30215,5,128,288,1763725937800615,288
30216,0,128,0,1763725937800621,128
30216,5,128,288,1763725937800628,288
30217,0,128,0,1763725937800632,128
30217,5,128,288,1763725937800638,288
30218,0,128,0,1763725937800644,128
30218,5,128,288,1763725937800650,288
30219,0,128,0,1763725937800654,128
30219,5,128,288,1763725937800660,288
30220,0,128,0,1763725937800666,128
30220,5,128,288,1763725937800671,288
