pair_id,variant,plain_size,transformed_size,encrypt_ns,hash_ns,send_ns,send_ts_us
0,0,128,0,0,0,43655,1763725926852125
0,5,128,288,98456,4738,8019,1763725926852247
1,0,128,0,0,0,6405,1763725926852543
1,5,128,288,63706,1879,5582,1763725926852619
2,0,128,0,0,0,6461,1763725926852898
2,5,128,288,94800,1936,6064,1763725926853005
3,0,128,0,0,0,5858,1763725926853296
3,5,128,288,61929,1687,5983,1763725926853370
4,0,128,0,0,0,6432,1763725926853647
4,5,128,288,66569,1748,6203,1763725926853726
5,0,128,0,0,0,6140,1763725926854000
5,5,128,288,66312,1837,6044,1763725926854079
6,0,128,0,0,0,6102,1763725926854369
6,5,128,288,66537,1730,5847,1763725926854447
7,0,128,0,0,0,7069,1763725926854727
7,5,128,288,72723,1962,6809,1763725926854813
8,0,128,0,0,0,7149,1763725926855094
8,5,128,288,73010,2026,6577,1763725926855180
9,0,128,0,0,0,6663,1763725926855460
9,5,128,288,72471,1920,6347,1763725926855546
10,0,128,0,0,0,8419,1763725926855830
10,5,128,288,80202,2122,7455,1763725926855925
11,0,128,0,0,0,8193,1763725926856225
11,5,128,288,79460,2141,7421,1763725926856319
12,0,128,0,0,0,7882,1763725926856603
12,5,128,288,99423,2443,8542,1763725926856719
13,0,128,0,0,0,8766,1763725926856991
13,5,128,288,89347,2563,7906,1763725926857097
14,0,128,0,0,0,9339,1763725926857388
14,5,128,288,93402,2761,8847,1763725926857499
15,0,128,0,0,0,9575,1763725926857789
15,5,128,288,99526,2647,8665,1763725926857907
16,0,128,0,0,0,9779,1763725926858218
16,5,128,288,100015,2681,8413,1763725926858335
17,0,128,0,0,0,10195,1763725926858626
17,5,128,288,99891,2649,8831,1763725926858744
18,0,128,0,0,0,98473,1763725926859224
18,5,128,288,307883,10592,27504,1763725926859589
19,0,128,0,0,0,40739,1763725926859984
19,5,128,288,286721,6800,26059,1763725926860318
20,0,128,0,0,0,24063,1763725926860661
20,5,128,288,281024,6629,26023,1763725926861016
21,0,128,0,0,0,24596,1763725926861379
21,5,128,288,268648,4924,21080,1763725926861685
22,0,128,0,0,0,21543,1763725926862021
22,5,128,288,239334,5390,20449,1763725926862298
23,0,128,0,0,0,18051,1763725926862618
23,5,128,288,208701,4377,18110,1763725926862858
24,0,128,0,0,0,19457,1763725926863174
24,5,128,288,209523,4185,18037,1763725926863416
25,0,128,0,0,0,15630,1763725926863725
25,5,128,288,185402,3688,16441,1763725926863939
26,0,128,0,0,0,16515,1763725926864264
26,5,128,288,185802,3868,16137,1763725926864478
27,0,128,0,0,0,16269,1763725926864785
27,5,128,288,167309,12509,14749,1763725926864988
28,0,128,0,0,0,14373,1763725926865291
28,5,128,288,166997,3485,14435,1763725926865484
29,0,128,0,0,0,15978,1763725926865790
29,5,128,288,194391,47901,14582,1763725926866055
30,0,128,0,0,0,9111,1763725926866372
30,5,128,288,112467,2830,9197,1763725926866504
31,0,128,0,0,0,9181,1763725926866834
31,5,128,288,99860,2618,8668,1763725926866952
32,0,128,0,0,0,9686,1763725926867262
32,5,128,288,100225,2695,8903,1763725926867381
33,0,128,0,0,0,10312,1763725926867674
33,5,128,288,114560,3063,10049,1763725926867809
34,0,128,0,0,0,29704,1763725926868144
34,5,128,288,243389,5396,23167,1763725926868429
35,0,128,0,0,0,19673,1763725926868772
35,5,128,288,223594,5815,19792,1763725926869032
36,0,128,0,0,0,18522,1763725926869351
36,5,128,288,190031,4578,17684,1763725926869573
37,0,128,0,0,0,17810,1763725926869886
37,5,128,288,205723,7903,27760,1763725926870137
38,0,128,0,0,0,23821,1763725926870468
38,5,128,288,184330,4840,20019,1763725926870689
39,0,128,0,0,0,18439,1763725926871016
39,5,128,288,170888,3760,19301,1763725926871219
